"","state_abbreviation","county","income","hispanic","white","college","density","female"
"301","CO","San Juan ",39583,14.2,82.1,24.8,1.8,43.1
"302","CO","San Miguel ",63594,9.6,87.1,53.5,5.7,46.9
"303","CO","Sedgwick ",40221,15.1,82.1,15,4.3,50
"304","CO","Summit ",63697,14.7,82.3,47.7,46,45.9
"305","CO","Teller ",59040,6.2,89.6,31.6,41.9,49.1
"306","CO","Washington ",44683,9.5,88,18.5,1.9,48.5
"307","CO","Weld ",57180,28.8,66.7,25.9,63.4,49.6
"308","CO","Yuma ",44308,21.9,76.6,17.7,4.2,50
"309","CT","Fairfield ",82283,18.7,63.8,44.8,1467.2,51.2
"310","CT","Hartford ",64967,17,63.4,34.9,1216.2,51.5
"311","CT","Litchfield ",71338,5.5,89.9,33.4,206.3,50.7
"312","CT","Middlesex ",76994,5.8,84.6,39.1,448.6,51.2
"313","CT","New Haven ",61996,16.8,65,32.9,1426.7,51.8
"314","CT","New London ",66583,9.9,76.3,31.3,412.2,49.9
"315","CT","Tolland ",80529,5,86.2,36.9,372.2,49.8
"316","CT","Windham ",59333,10.9,83.8,22.3,230.9,50.4
"317","DE","Kent ",55149,6.9,63.3,21.4,276.9,51.8
"318","DE","New Castle ",64537,9.4,59.5,33.8,1263.2,51.6
"319","DE","Sussex ",52710,9.3,75,22.2,210.6,51.5
"320","DC","District of Columbia",65830,10.4,35.8,52.4,9856.6,52.6
"321","FL","Alachua ",42149,9.1,62.6,40.5,282.7,51.7
"322","FL","Baker ",49236,2.4,81.9,10,46.3,47.9
"323","FL","Bay ",47461,5.7,77.7,21.1,222.6,50.2
"324","FL","Bradford ",40259,3.8,74.9,9.2,97,45.6
"325","FL","Brevard ",48039,9.3,75.8,26.3,535,51.2
"326","FL","Broward ",51251,27.5,39.8,29.9,1444.9,51.4
"327","FL","Calhoun ",32780,5.8,76.8,7.8,25.8,45.5
"328","FL","Charlotte ",44378,6.7,84.7,21.2,235.2,51.3
"329","FL","Citrus ",39100,5.2,88.7,16.6,242.8,51.6
"330","FL","Clay ",59482,9.2,74.8,24,315.8,50.8
"331","FL","Collier ",55843,26.7,64.3,31.7,160.9,50.8
"332","FL","Columbia ",38070,5.6,73.1,13.3,84.7,48.2
"333","FL","DeSoto ",34963,30.5,55.2,10.6,54.7,43.7
"334","FL","Dixie ",33981,3.7,85.1,8.4,23.3,46
"335","FL","Duval ",48323,8.6,55,26.4,1133.9,51.6
"336","FL","Escambia ",43918,5.5,65.5,23.7,453.4,50.1
"337","FL","Flagler ",47233,9.8,75.3,23.3,197.1,52
"338","FL","Franklin ",38328,5.1,78,14.4,21.6,42.2
"339","FL","Gadsden ",35380,10.5,33.2,14.9,89.8,49.5
"340","FL","Gilchrist ",38406,5.2,87.1,11.1,48.4,48
"341","FL","Glades ",34694,21.7,60.4,12.2,16,43.7
"342","FL","Gulf ",40455,5,73.4,13.6,28.1,39.8
"343","FL","Hamilton ",37716,9.5,55,9.4,28.8,42.9
"344","FL","Hardee ",37125,43.1,47.5,8.8,43.5,46.5
"345","FL","Hendry ",35425,50.9,33.9,9.9,34,48
"346","FL","Hernando ",41024,11.6,80.2,15.5,365.6,52.1
"347","FL","Highlands ",35560,18.4,68.7,14.9,97.2,51.5
"348","FL","Hillsborough ",49596,26.5,51.6,29.5,1204.9,51.3
"349","FL","Holmes ",35511,2.7,87,12,41.6,46.6
"350","FL","Indian River ",44772,11.9,76.3,26.6,274.5,52
"351","FL","Jackson ",36809,4.8,65.7,14.2,54.2,44.8
"352","FL","Jefferson ",44170,4.1,58.8,16.9,24.7,47.7
"353","FL","Lafayette ",39722,12.5,71,9.3,16.3,40
"354","FL","Lake ",45035,13.8,72.4,20.5,316.6,51.6
"355","FL","Lee ",47439,19.6,69.2,24.7,788.7,51
"356","FL","Leon ",46369,6.1,57.5,44.2,413.1,52.5
"357","FL","Levy ",34348,8.1,80,11.1,36.5,50.8
"358","FL","Liberty ",39681,6.6,71.4,12.8,10,37.6
"359","FL","Madison ",33833,5,54.5,9.7,27.6,47.2
"360","FL","Manatee ",47876,15.7,72.1,26.6,434.5,51.6
"361","FL","Marion ",39453,11.9,72.2,17.4,209.1,52
"362","FL","Martin ",49846,12.9,79.3,29.9,269.2,50.4
